Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom, Accuracy, Gap
534.2,433,573,101.2,38.8,1.0,0.7
229.8,46,186,183.8,-43.8,-0.2,0.7
236.2,109,249,127.2,12.8,0.6,0.7
535.8,442,582,93.8,46.2,0.9,0.7
516.0,412,552,104.0,36.0,0.9,0.7
339.0,255,395,84.0,56.0,0.8,0.7
481.0,360,500,121.0,19.0,0.7,0.7
390.6,307,447,83.6,56.4,0.8,0.7
262.8,147,287,115.8,24.2,0.8,0.7
311.8,216,356,95.8,44.2,1.0,0.7
311.8,234,374,77.8,62.2,0.7,0.7
482.0,351,491,131.0,9.0,0.5,0.7
310.6,203,343,107.6,32.4,0.9,0.7
237.2,118,258,119.2,20.8,0.7,0.7
311.8,229,369,82.8,57.2,0.8,0.7
236.0,110,250,126.0,14.0,0.6,0.7
311.0,227,367,84.0,56.0,0.8,0.7
235.2,106,246,129.2,10.8,0.6,0.7
340.6,265,405,75.6,64.4,0.7,0.7
249.8,128,268,121.8,18.2,0.7,0.7
311.4,237,377,74.4,65.6,0.7,0.7
511.6,407,547,104.6,35.4,0.9,0.7
275.6,125,265,150.6,-10.6,0.3,0.7
401.0,327,467,74.0,66.0,0.7,0.7
268.2,151,291,117.2,22.8,0.7,0.7
311.8,228,368,83.8,56.2,0.8,0.7
543.8,463,603,80.8,59.2,0.8,0.7
310.8,202,342,108.8,31.2,0.8,0.7
542.2,486,626,56.2,83.8,0.4,0.7
269.0,149,289,120.0,20.0,0.7,0.7
356.4,277,417,79.4,60.6,0.7,0.7
541.4,486,626,55.4,84.6,0.4,0.7
481.2,357,497,124.2,15.8,0.6,0.7
231.0,40,180,191.0,-51.0,-0.3,0.7
520.2,423,563,97.2,42.8,1.0,0.7
251.4,140,280,111.4,28.6,0.8,0.7
237.2,78,218,159.2,-19.2,0.2,0.7
379.6,287,427,92.6,47.4,0.9,0.7
341.8,273,413,68.8,71.2,0.6,0.7
341.8,254,394,87.8,52.2,0.9,0.7
402.8,334,474,68.8,71.2,0.6,0.7
402.8,342,482,60.8,79.2,0.5,0.7
535.8,448,588,87.8,52.2,0.9,0.7
484.0,379,519,105.0,35.0,0.9,0.7
249.6,136,276,113.6,26.4,0.8,0.7
232.2,57,197,175.2,-35.2,-0.1,0.7
541.8,482,622,59.8,80.2,0.5,0.7
339.8,253,393,86.8,53.2,0.8,0.7
540.0,500,640,40.0,100.0,0.2,0.7
236.2,115,255,121.2,18.8,0.7,0.7
541.4,469,609,72.4,67.6,0.6,0.7
482.6,364,504,118.6,21.4,0.7,0.7
251.8,127,267,124.8,15.2,0.6,0.7
231.0,48,188,183.0,-43.0,-0.2,0.7
310.2,205,345,105.2,34.8,0.9,0.7
484.0,347,487,137.0,3.0,0.5,0.7
266.4,165,305,101.4,38.6,1.0,0.7
308.6,212,352,96.6,43.4,1.0,0.7
540.6,472,612,68.6,71.4,0.6,0.7
513.6,419,559,94.6,45.4,1.0,0.7
309.6,230,370,79.6,60.4,0.7,0.7
250.2,140,280,110.2,29.8,0.8,0.7
480.0,348,488,132.0,8.0,0.5,0.7
535.2,442,582,93.2,46.8,0.9,0.7
235.4,81,221,154.4,-14.4,0.2,0.7
307.4,187,327,120.4,19.6,0.7,0.7
236.4,74,214,162.4,-22.4,0.1,0.7
484.4,382,522,102.4,37.6,0.9,0.7
387.6,293,433,94.6,45.4,1.0,0.7
392.8,314,454,78.8,61.2,0.7,0.7
233.0,52,192,181.0,-41.0,-0.2,0.7
266.0,164,304,102.0,38.0,0.9,0.7
543.2,484,624,59.2,80.8,0.5,0.7
234.4,108,248,126.4,13.6,0.6,0.7
252.2,130,270,122.2,17.8,0.7,0.7
484.4,379,519,105.4,34.6,0.9,0.7
484.0,351,491,133.0,7.0,0.5,0.7
234.2,90,230,144.2,-4.2,0.4,0.7
401.4,340,480,61.4,78.6,0.5,0.7
340.2,245,385,95.2,44.8,1.0,0.7
540.4,471,611,69.4,70.6,0.6,0.7
267.4,152,292,115.4,24.6,0.8,0.7
271.8,171,311,100.8,39.2,1.0,0.7
227.8,35,175,192.8,-52.8,-0.3,0.7
230.2,45,185,185.2,-45.2,-0.2,0.7
234.6,89,229,145.6,-5.6,0.3,0.7
543.0,456,596,87.0,53.0,0.8,0.7
238.0,103,243,135.0,5.0,0.5,0.7
340.2,252,392,88.2,51.8,0.9,0.7
389.2,308,448,81.2,58.8,0.8,0.7
488.2,400,540,88.2,51.8,0.9,0.7
390.2,321,461,69.2,70.8,0.6,0.7
390.2,307,447,83.2,56.8,0.8,0.7
481.2,356,496,125.2,14.8,0.6,0.7
231.0,55,195,176.0,-36.0,-0.1,0.7
273.0,174,314,99.0,41.0,1.0,0.7
341.2,270,410,71.2,68.8,0.6,0.7
236.4,80,220,156.4,-16.4,0.2,0.7
542.6,480,620,62.6,77.4,0.5,0.7
340.6,244,384,96.6,43.4,1.0,0.7
340.6,259,399,81.6,58.4,0.8,0.7
309.8,209,349,100.8,39.2,1.0,0.7
315.0,238,378,77.0,63.0,0.7,0.7
542.0,472,612,70.0,70.0,0.6,0.7
231.0,52,192,179.0,-39.0,-0.1,0.7
455.8,405,545,50.8,89.2,0.3,0.7
541.0,455,595,86.0,54.0,0.8,0.7
536.0,441,581,95.0,45.0,1.0,0.7
237.0,79,219,158.0,-18.0,0.2,0.7
520.6,425,565,95.6,44.4,1.0,0.7
311.2,209,349,102.2,37.8,0.9,0.7
486.2,384,524,102.2,37.8,0.9,0.7
514.2,413,553,101.2,38.8,1.0,0.7
307.2,208,348,99.2,40.8,1.0,0.7
517.8,412,552,105.8,34.2,0.9,0.7
542.2,499,639,43.2,96.8,0.2,0.7
311.6,230,370,81.6,58.4,0.8,0.7
532.8,438,578,94.8,45.2,1.0,0.7
