Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom
310.59999999999945,221,361,0.6399999999999961,0.3600000000000039
310.59999999999945,219,359,0.6542857142857104,0.34571428571428964
196.19999999999942,107,247,0.637142857142853,0.362857142857147
196.19999999999942,108,248,0.6299999999999959,0.37000000000000416
191.19999999999942,105,245,0.6157142857142816,0.38428571428571845
412.3999999999994,326,466,0.6171428571428529,0.38285714285714706
202.99999999999937,118,258,0.6071428571428527,0.39285714285714735
434.9999999999994,349,489,0.6142857142857098,0.3857142857142902
308.19999999999936,225,365,0.5942857142857098,0.40571428571429025
432.39999999999935,346,486,0.6171428571428526,0.3828571428571475
192.39999999999935,108,248,0.6028571428571382,0.3971428571428618
113.39999999999935,29,169,0.6028571428571382,0.3971428571428618
118.59999999999935,49,189,0.49714285714285256,0.5028571428571474
503.59999999999934,415,555,0.6328571428571381,0.3671428571428619
414.1999999999993,324,464,0.6442857142857094,0.35571428571429065
199.79999999999927,112,252,0.6271428571428519,0.37285714285714805
168.99999999999926,92,232,0.5499999999999947,0.4500000000000053
254.99999999999926,381,521,-0.9000000000000052,1.9000000000000052
465.5999999999992,381,521,0.6042857142857088,0.39571428571429124
350.5999999999992,265,405,0.6114285714285659,0.3885714285714341
118.79999999999922,46,186,0.5199999999999944,0.4800000000000056
334.9999999999992,245,385,0.6428571428571371,0.3571428571428628
199.1999999999992,116,256,0.5942857142857085,0.40571428571429147
384.1999999999992,300,440,0.6014285714285657,0.39857142857143435
389.3999999999992,305,445,0.602857142857137,0.397142857142863
224.99999999999915,138,278,0.6214285714285653,0.37857142857143466
206.19999999999914,119,259,0.6228571428571367,0.37714285714286333
228.19999999999914,142,282,0.6157142857142796,0.38428571428572045
168.79999999999913,87,227,0.5842857142857081,0.4157142857142919
338.9999999999991,250,390,0.6357142857142792,0.36428571428572076
170.9999999999991,82,222,0.6357142857142792,0.36428571428572076
502.9999999999991,417,557,0.6142857142857078,0.3857142857142922
351.1999999999991,262,402,0.6371428571428506,0.36285714285714943
466.79999999999905,376,516,0.6485714285714218,0.35142857142857825
118.99999999999903,38,178,0.5785714285714216,0.4214285714285783
486.99999999999903,398,538,0.6357142857142788,0.3642857142857212
430.99999999999903,345,485,0.6142857142857073,0.3857142857142926
321.599999999999,230,370,0.6542857142857071,0.34571428571429286
234.599999999999,157,297,0.5542857142857072,0.44571428571429283
141.599999999999,52,192,0.6399999999999929,0.36000000000000715
235.599999999999,151,291,0.6042857142857071,0.39571428571429285
456.799999999999,371,511,0.6128571428571357,0.3871428571428644
442.39999999999895,355,495,0.6242857142857068,0.37571428571429316
476.59999999999894,391,531,0.6114285714285639,0.3885714285714361
300.79999999999893,207,347,0.6699999999999924,0.3300000000000076
407.9999999999989,318,458,0.6428571428571351,0.35714285714286487
389.1999999999989,308,448,0.5799999999999922,0.4200000000000078
245.1999999999989,170,310,0.5371428571428494,0.4628571428571506
157.3999999999989,68,208,0.6385714285714207,0.3614285714285793
342.3999999999989,257,397,0.6099999999999921,0.3900000000000079
337.3999999999989,252,392,0.6099999999999921,0.3900000000000079
