Click_Y,Y_Top,Y_Bottom,Dist_Y_Top,Dist_Y_Bottom,Accuracy,Gap
271.6,131.0,271.0,140.6,-0.6,-0.1834,0.7
273.0,127.0,267.0,146.0,-6.0,-0.3334,0.7
239.0,56.0,196.0,183.0,-43.0,-1.3612,0.7
263.0,87.0,227.0,176.0,-36.0,-1.1666,0.7
488.2,409.0,549.0,79.2,60.8,0.4778,0.7
334.2,249.0,389.0,85.2,54.8,0.6444,0.7
374.8,282.0,422.0,92.8,47.2,0.8556,0.7
374.8,279.0,419.0,95.8,44.2,0.9388,0.7
502.8,494.0,634.0,8.8,131.2,-1.4778,0.7
305.6,227.0,367.0,78.6,61.4,0.4612,0.7
461.2,372.0,512.0,89.2,50.8,0.7556,0.7
263.2,81.0,221.0,182.2,-42.2,-1.3388,0.7
303.6,232.0,372.0,71.6,68.4,0.2666,0.7
379.2,292.0,432.0,87.2,52.8,0.7,0.7
379.2,308.0,448.0,71.2,68.8,0.2556,0.7
384.4,322.0,462.0,62.4,77.6,0.0112,0.7
392.6,337.0,477.0,55.6,84.4,-0.1778,0.7
263.6,87.0,227.0,176.6,-36.6,-1.1834,0.7
337.6,262.0,402.0,75.6,64.4,0.3778,0.7
327.8,201.0,341.0,126.8,13.2,0.2,0.7
382.8,290.0,430.0,92.8,47.2,0.8556,0.7
382.8,320.0,460.0,62.8,77.2,0.0222,0.7
305.6,217.0,357.0,88.6,51.4,0.7388,0.7
261.6,107.0,247.0,154.6,-14.6,-0.5722,0.7
507.0,488.0,628.0,19.0,121.0,-1.1944,0.7
277.0,172.0,312.0,105.0,35.0,0.8056,0.7
272.2,149.0,289.0,123.2,16.8,0.3,0.7
336.4,250.0,390.0,86.4,53.6,0.6778,0.7
263.4,95.0,235.0,168.4,-28.4,-0.9556,0.7
505.2,428.0,568.0,77.2,62.8,0.4222,0.7
264.2,91.0,231.0,173.2,-33.2,-1.0888,0.7
507.6,502.0,642.0,5.6,134.4,-1.5666,0.7
336.2,255.0,395.0,81.2,58.8,0.5334,0.7
274.2,136.0,276.0,138.2,1.8,-0.1166,0.7
264.8,62.0,202.0,202.8,-62.8,-1.9112,0.7
261.6,100.0,240.0,161.6,-21.6,-0.7666,0.7
303.0,217.0,357.0,86.0,54.0,0.6666,0.7
325.0,196.0,336.0,129.0,11.0,0.1388,0.7
489.2,408.0,548.0,81.2,58.8,0.5334,0.7
239.4,34.0,174.0,205.4,-65.4,-1.9834,0.7
262.0,102.0,242.0,160.0,-20.0,-0.7222,0.7
334.6,259.0,399.0,75.6,64.4,0.3778,0.7
261.6,89.0,229.0,172.6,-32.6,-1.0722,0.7
337.4,261.0,401.0,76.4,63.6,0.4,0.7
337.4,271.0,411.0,66.4,73.6,0.1222,0.7
393.4,335.0,475.0,58.4,81.6,-0.1,0.7
334.4,272.0,412.0,62.4,77.6,0.0112,0.7
235.6,42.0,182.0,193.6,-53.6,-1.6556,0.7
